geometry,temp_C,coeff_Vmp_Voc,gmpp_V,gmpp_P_W,n_peaks,power_lost_frac,region_error,region_error_costly
whole_substring,25.0,0.8548,38.031,177.551,3,0.0437,False,True
whole_substring,25.0,0.5577,26.014,154.676,2,0.0199,False,True
sub_substring,60.0,0.5414,17.095,82.054,3,0.0025,False,False
sub_substring,45.0,0.8644,34.644,155.148,2,0.0519,False,True
whole_substring,60.0,0.5198,19.285,126.653,2,0.0055,False,False
whole_substring,25.0,0.8947,34.336,55.183,3,0.0069,True,False
sub_substring,45.0,0.5471,21.708,96.265,2,0.0056,False,False
uniform,60.0,0.82,20.954,23.679,1,0.0038,False,False
sub_substring,25.0,0.5633,24.819,84.872,3,0.0393,False,True
whole_substring,45.0,0.5415,21.742,150.611,2,0.0021,False,False
uniform,25.0,0.8177,36.823,218.026,1,0.0039,False,False
sub_substring,25.0,0.8825,39.761,204.667,3,0.0856,False,True
whole_substring,25.0,0.5565,24.277,158.284,3,0.0178,False,True
uniform,45.0,0.801,28.749,180.096,1,0.0,False,False
whole_substring,25.0,0.5576,24.708,133.591,2,0.0184,False,True
whole_substring,25.0,0.8744,38.546,142.592,3,0.0671,False,True
sub_substring,45.0,0.5181,21.142,142.942,2,0.0073,False,False
sub_substring,60.0,0.9179,28.849,63.381,3,0.058,True,True
whole_substring,45.0,0.5607,26.613,104.325,2,0.0219,False,True
sub_substring,25.0,0.5328,20.001,138.453,2,0.0,False,False
sub_substring,45.0,0.6049,19.698,55.579,3,0.0823,False,True
whole_substring,45.0,0.5435,18.994,111.986,2,0.0034,False,False
sub_substring,60.0,0.5484,16.427,101.17,2,0.0054,False,False
sub_substring,45.0,0.5839,24.033,80.215,3,0.0613,False,True
sub_substring,60.0,0.8631,31.211,75.579,2,0.0456,False,True
sub_substring,60.0,0.5525,25.137,123.797,2,0.0135,False,True
whole_substring,25.0,0.5611,19.702,98.91,3,0.0256,False,True
whole_substring,60.0,0.5512,21.322,149.662,3,0.0096,False,False
whole_substring,60.0,0.8469,25.722,50.649,2,0.0228,False,True
sub_substring,25.0,0.9038,30.809,70.606,2,0.033,True,True
sub_substring,60.0,0.8741,44.774,106.663,3,0.0722,False,True
uniform,25.0,0.8479,29.883,109.272,1,0.0237,False,True
whole_substring,60.0,0.8523,32.453,82.398,2,0.0343,False,True
whole_substring,60.0,0.5339,14.302,61.708,3,0.0,False,False
sub_substring,25.0,0.8619,18.098,55.592,2,0.0602,False,True
whole_substring,45.0,0.587,27.303,52.088,3,0.0157,True,True
whole_substring,60.0,0.5426,16.06,40.723,3,0.0027,False,False
sub_substring,25.0,0.5693,20.312,41.894,3,0.0371,False,True
whole_substring,60.0,0.8312,41.746,170.696,2,0.0128,False,True
whole_substring,25.0,0.5658,14.275,80.397,2,0.0272,False,True
sub_substring,60.0,0.9015,39.246,179.841,3,0.0454,True,True
whole_substring,60.0,0.8533,31.081,85.455,3,0.0378,False,True
whole_substring,60.0,0.8639,25.509,36.131,2,0.0472,False,True
uniform,25.0,0.8527,31.092,72.426,1,0.0268,False,True
sub_substring,45.0,0.8661,30.767,134.113,3,0.0565,False,True
whole_substring,60.0,0.8595,23.239,27.575,2,0.0418,False,True
whole_substring,60.0,0.5622,20.669,90.254,3,0.0233,False,True
whole_substring,60.0,0.5369,19.71,118.541,3,0.0004,False,False
sub_substring,60.0,0.5504,17.538,117.396,3,0.0089,False,False
whole_substring,60.0,0.5342,20.527,105.855,2,0.0,False,False
uniform,60.0,0.8176,36.851,30.868,1,0.0029,False,False
whole_substring,25.0,0.8951,31.798,63.82,3,0.0819,False,True
sub_substring,25.0,0.8795,38.976,126.779,2,0.0717,False,True
sub_substring,45.0,0.5519,22.403,102.637,3,0.0121,False,True
whole_substring,25.0,0.8623,37.088,78.424,2,0.045,False,True
sub_substring,60.0,0.2404,7.998,68.672,3,0.1061,False,True
uniform,25.0,0.8473,27.587,24.771,1,0.0211,False,True
whole_substring,60.0,0.8422,25.429,51.138,2,0.0197,False,True
uniform,25.0,0.8545,37.156,91.902,1,0.0297,False,True
whole_substring,25.0,0.8953,37.44,55.936,3,0.0852,False,True
sub_substring,45.0,0.5676,22.037,81.836,3,0.0324,False,True
sub_substring,60.0,0.8815,31.372,56.766,3,0.0702,False,True
sub_substring,45.0,0.2516,8.859,45.832,3,0.0397,False,True
sub_substring,60.0,0.5633,17.261,63.799,3,0.0252,False,True
uniform,60.0,0.8172,32.034,176.313,1,0.0031,False,False
uniform,60.0,0.7701,29.12,203.852,1,0.011,False,True
whole_substring,45.0,0.2478,9.378,67.129,3,0.0457,False,True
whole_substring,45.0,0.8869,35.745,88.057,3,0.0793,False,True
sub_substring,60.0,0.5682,17.138,62.933,3,0.0309,False,True
whole_substring,25.0,0.5565,24.874,175.127,3,0.0201,False,True
whole_substring,25.0,0.5535,21.691,93.16,2,0.0124,False,True
whole_substring,25.0,0.5647,24.468,72.922,2,0.0288,False,True
uniform,25.0,0.8538,30.705,59.579,1,0.0279,False,True
uniform,25.0,0.8193,24.177,143.752,1,0.0044,False,False
sub_substring,45.0,0.9017,29.036,105.9,2,0.0628,False,True
sub_substring,45.0,0.9248,30.515,45.825,3,0.0638,True,True
whole_substring,45.0,0.5593,19.884,110.267,3,0.0223,False,True
whole_substring,45.0,0.8471,27.331,72.676,2,0.0263,False,True
sub_substring,25.0,0.5362,23.082,99.602,2,0.0003,False,False
whole_substring,45.0,0.8255,33.579,146.155,1,0.0115,False,True
sub_substring,25.0,0.5897,27.069,68.701,3,0.074,False,True
sub_substring,25.0,0.5451,17.397,64.822,2,0.0046,False,False
whole_substring,45.0,0.5211,15.565,84.839,2,0.0055,False,False
uniform,60.0,0.7837,23.478,135.848,1,0.0028,False,False
sub_substring,60.0,0.8982,35.564,72.813,3,0.0904,False,True
sub_substring,45.0,0.2368,7.69,52.957,3,0.1352,False,True
sub_substring,45.0,0.5463,29.183,125.829,2,0.0049,False,False
sub_substring,45.0,0.5801,22.844,82.592,3,0.0517,False,True
whole_substring,60.0,0.5342,17.961,80.147,2,0.0,False,False
whole_substring,60.0,0.8587,32.81,80.061,3,0.0451,False,True
sub_substring,60.0,0.8463,31.478,73.357,2,0.0303,False,True
whole_substring,45.0,0.5709,22.625,83.959,3,0.0377,False,True
whole_substring,25.0,0.8815,37.868,93.743,2,0.0665,False,True
whole_substring,25.0,0.877,33.391,167.742,2,0.0691,False,True
whole_substring,45.0,0.5749,18.706,49.367,3,0.0452,False,True
whole_substring,45.0,0.5364,15.797,58.87,2,0.0003,False,False
sub_substring,60.0,0.453,2.826,13.002,2,0.3754,False,True
whole_substring,25.0,0.5871,25.266,72.58,3,0.0465,True,True
whole_substring,45.0,0.8273,26.838,95.354,1,0.0105,False,True
uniform,25.0,0.8343,26.924,97.126,1,0.0125,False,True
whole_substring,60.0,0.5328,16.942,107.328,2,0.0,False,False
whole_substring,25.0,0.8392,29.931,95.061,1,0.0198,False,True
whole_substring,60.0,0.8676,27.077,81.735,3,0.0552,False,True
