breakdown_voltage,breakdown_factor,breakdown_exp,region_error
-10.0,0.001,2.0,0.045
-10.0,0.001,3.28,0.045
-10.0,0.001,4.0,0.045
-10.0,0.01,2.0,0.045
-10.0,0.01,3.28,0.05
-10.0,0.01,4.0,0.05
-10.0,0.1,2.0,0.05
-10.0,0.1,3.28,0.05
-10.0,0.1,4.0,0.05
-15.0,0.001,2.0,0.045
-15.0,0.001,3.28,0.045
-15.0,0.001,4.0,0.045
-15.0,0.01,2.0,0.045
-15.0,0.01,3.28,0.045
-15.0,0.01,4.0,0.045
-15.0,0.1,2.0,0.045
-15.0,0.1,3.28,0.045
-15.0,0.1,4.0,0.045
-20.0,0.001,2.0,0.045
-20.0,0.001,3.28,0.045
-20.0,0.001,4.0,0.045
-20.0,0.01,2.0,0.045
-20.0,0.01,3.28,0.045
-20.0,0.01,4.0,0.045
-20.0,0.1,2.0,0.045
-20.0,0.1,3.28,0.045
-20.0,0.1,4.0,0.045
-30.0,0.001,2.0,0.045
-30.0,0.001,3.28,0.045
-30.0,0.001,4.0,0.045
-30.0,0.01,2.0,0.045
-30.0,0.01,3.28,0.045
-30.0,0.01,4.0,0.045
-30.0,0.1,2.0,0.045
-30.0,0.1,3.28,0.045
-30.0,0.1,4.0,0.045
